Date,Accident Spot,Area,County,Road/ Highway,Brief Accident Details/Cause,Victims,Total people confirmed dead,Time of the Accidents,Weather conditions
8/8/2023,Sobea,Sobea,Nakuru,Nakuru-Eldoret Highway,Head on Collision,Passengers,4,16:30,Windy
8/7/2023,Maai-Mahiu,Naivasha,Nakuru,Maai-Mahiu Naivasha Highway,Vehicle and motorcycle collision,Passenger,1,17:50,Cloudy
7/25/2023,Ntulele,Ntulele,Narok,Narok Mai Mahiu road,Head on Collision,"Driver, Passengers",4,01:30,Cloudy
12/2/2022,Suswa,Suswa,Narok,Narok Mai Mahiu road,Head on Collision,"Driver, Passengers",3,18:00,Windy
12/1/2022,Mutira,Mutira,Kirinyaga,Kerugoya-Karatina Road,Run over,Pedestrian,1,12:26,Sunny
8/6/2022,Mlima Swara,Mlima Swara,Murang'a,Kenol-Sagana Road,Car hit a stationary lorry,Passengers,5,22:57,Cloudy
7/27/2022,Nithi,Nithi Bridge,Tharaka Nithi,Meru Embu Road,Driver lost control and swerved off the bridge,"Driver, Passengers",6,19:25,Calm
7/28/2022,Makuyu,Makuyu,Murang'a,Kenol-Sagana Road,Vehicle rammed into a lorry,"Driver, Passengers",7,09:47,Sunny
6/28/2022,Nithi,Nithi Bridge,Tharaka Nithi,Meru Embu Road,Vehicle rolled into the bridge,Passengers,4,06:23,Foggy
9/21/2021,River Tungu,River Tungu,Tharaka Nithi,Meru Embu Road,Vehicle rolled into the river,Passengers,5,12:05,Rainy
9/27/2021,Nithi,Nithi Bridge,Tharaka Nithi,Meru Embu Road,Vehicle rolled into the bridge,Passengers,4,03:13,Rainy
9/27/2020,Pangani,Pangani,"Nairobi ","Thika Road ",Driver lost control and rammed into pillar,"Passengers, Pedestrians",4,12:30,Rainy
2/23/2021,Nithi,Nithi Bridge,Tharaka Nithi,Meru Embu Road,Head on Collision,Passengers,6,02:00,Rainy
8/20/2023,Naivasha,Marula Farm,Naivasha,"Nairobi - Nakuru highway ",Personal vehicle rammed onto an oncoming bus,Passengers (Personal Vehicle),2,02:00,Windy
8/17/2020,River Maara,River Maara,Tharaka Nithi,Meru Embu Road,Vehicle rolled into the river,"Driver, Passengers",3,04:59,Rainy
9/8/2023,Mlima Kiu,Salama,Makueni,"Mombasa - Nairobi highway ",Matatu collided head on with an oncoming truck,Passengers,4,07:54,Raining
4/18/2023,Naivasha,Delamere Farm,Naivasha,Nairobi - Nakuru highway,Head on collision Matatu and lorry,Passengers,6,09:37,Windy
9/7/2023,Voi,Ndii,Makueni,"Mombasa - Nairobi highway ",Matatu and Lorry head on collision,Passengers,12,16:20,Rainy
6/30/2023,Londiani,Londiani Junction,Nakuru,Nakuru Kericho Highway,Lorry brakes failed and rammed into 4 matatus & saloon car,"Drivers, Passengers, Pedestrians",52,18:30,Cloudy
9/21/2022,Sachangwan,Sachangwan,Bomet,Bomet - Sotik highway,Matatu collided with a tractor,"Driver, Passengers",4,19:33,Calm
9/1/2021,Jubat,Londiani,Nakuru,Nakuru Kericho Highway,Matatu and truck head on collision,"Driver, Passengers",3,21:00,Rainy
9/27/2023,Sotik,Sotik,Bomet,Bomet - Sotik highway,Bodaboda rider hit by matatu,None,0,17:15,Rainy
6/15/2022,Koru,Muhoroni,Kisumu,"Kisumu Highway ",Bus lost control and rolled,"Driver, Passenger",2,00:19,Rainy
8/29/2021,Londiani,Londiani,Nakuru,Nakuru Kericho Highway,Vehicle lost control and rolled,Passengers,6,10:08,Rainy
8/29/2023,Ojolla,Ojolla,Kisumu,Kisumu - Busia Road,Head on collision,"Driver,Passengers"," 9",00:09,Cloudy
8/25/2021,Greensteads,Greensteads,Nakuru,"Nakuru - Nairobi highway ",Head on collision,Passengers,3,08:23,Cloudy
7/9/2023,Ngata Bridge,Ngata,Nakuru,Nakuru Eldoret Highway,Matatu and truck head on collision,Passenger,1,22:00,Windy
1/13/2023,Ratili,Ratili Narok south,Narok,Narok road,Saloom car rolled,"Driver, Passengers",1,17:12,Windy
5/22/2023,Isinya,Isinya,Kajiado,Isinya Kiserian Road,Bus lost control and rolled into a ditch,Passengers,7,00:08,Rainy
9/1/2022,Taru,Taru township,Kwale,"Mombasa - Nairobi highway ",Shuttle rammed into a lorry,"Driver, Passengers",20,03:44,Cloudy
5/15/2023,Sachangwan,Sachangwan,Bomet,Nakuru Eldoret Highway,"Matatu hit a bump, veered off the road and landed into a ditch","Passengers, Pederstrian",5,02:00,Calm
7/5/2022,Mlolongo,Mlolongo Exit,Nairobi,Nairobi Express way,"Motorist crashed into toll station ","Driver, Motorists",2,02:05,Windy
5/5/2023,Pala Junction,Kendu Bay,Homabay,Homabay- Kendubay Road,Driver lost control and landed into a ditch,Passengers,7,23:30,Calm
6/24/2023,Kaburengu Junction,Chimoi,Kakamega,Eldoret Webuye Highway,Bus and lorry collision,Passengers,6,11:47,Sunny
3/30/2023,Naivasha,Kayole Naivasha,Nakuru,"Nakuru - Nairobi highway ",Bus collided with matatu,"Driver, Passengers",14,13:00,Sunny
6/24/2023,Migaa,Mau Hills,Nakuru,Nakuru Eldoret Highway,Matatu driver lot ontrol and hit a lorry,"Driver, Passengers",3,14:57,Sunny
8/29/2021,Londiani,Londiani,Nakuru,Nakuru Kericho Highway,Vehicle lost control nd rolled,Passengers,5,05:15,Windy
9/27/2023,Laisamis,Laisamis,Isiolo,Marsabit Isiolo Highway,Vehicle veered off rhe road after tyre burst,"Driver, Passenger"," 2",17:05,Cloudy
9/26/2023,Ainabkoi Intersection,Ainabkoi,Uasin Gishi,Nakuru Eldoret Highway,Bus collided with a saloon car,None,0,07:04,Windy
8/28/2023,Ojola,Ojola,Kisumu,Kisumu - Busia Road,"Driver tried to overtake, rammed into a trailer and collided with a matatu",Passenger,1,00:10,Cloudy
8/28/2023,Zion Area,Zion,Makueni,Mombasa - Nairobi highway,Bus hit a motorbike,Motorist,1,19:35,Rainy
5/10/2023,Migori Town,Migori Town,Migori,Migori-Kisii-Isebania Highway,"Lorry had faulty brakes, lost control and rammed into several cars and pedestrians",Pedestrians,2,03:51,Rainy
7/15/2023,Eka Tano,Kikuyu,Kiambu,"Nakuru - Nairobi highway ","Vehicle lost control, hitting other vehocles on the road",Passengers,2,07:19,Foggy
4/16/2023,Josa,Mwatate,Taita Taveta,"Mombasa - Nairobi highway ",Head on Collision,Passengers,10,17:34,Foggy
4/2/2023,Masaba,Masaba,Kisii,Kisii Keroka Road,Biker braked late and hit the back of a vehicle,None,0,21:21,Windy
9/18/2023,Gitaru,Gitaru,Kiambu,"Nakuru - Nairobi highway ",Driver lost control and hit barrier,None,0,13:12,Windy
9/8/2023,Malili,Malili,Makueni,"Mombasa - Nairobi highway ","Involved a truck, lorry and saloon car",None,0,16:20,Windy
8/20/2023,Naivasha,Marula Farm,Naivasha,"Nairobi - Nakuru highway ",Personal vehicle rammed onto an oncoming bus,Passengers,3,02:00,Foggy
8/30/2023,Nairagie-Enkare,Narok,Narok,Narok Mai Mahiu road,Bus burst into flames,None,0,22:18,Rainy
8/8/2023,Sobea,Sobea,Nakuru,Nakuru Eldoret Highway,matatu collided with a truck,Passengers,2,07:56,Windy
7/25/2023,Ntulele,Narok,Narok,Narok Mai Mahiu road,truck collided head on with another truck,Passengers,3,11:18,Sunny
12/2/2022,Suswa,Suswa,Narok,Narok Mai Mahiu road,Head on Collision,"Driver, Passengers",1,12:16,Sunny
7/4/2023,Mau Summit,Kuresoi North,Nakuru,Nakuru Kericho Highway,Bus lost control and landed in a ditch,None,0,22:19,Windy
4/26/2022,Kirinyaga,Kirinyaga,Kirinyaga,Rukenya Kimunye Road,Bus overturned,None,0,18:00,Foggy
18/12/2021,Kambiti,Kambiti,Murang'a,Sagana Kenol Road,Matatu collided with an on coming lorry,Passengers,3,17:32,Sunny
12/12/2021,Roka,Roka,Kilifi,Kilifi Malindi Road,Matatus collided head on,Passengers,7,19:30,Rainy
12/3/2021,Tuthamba,Kirinyaga,Kirinyaga,Sagana Kagio Road,Matatu collided head on with a saloon car,None,0,21:00,Calm
6/24/2023,Migaa,Mau Hills,Nakuru,Nakuru Eldoret highway,Matatu driver lost control and hit a lorry,Passenger,3,18:35,Windy
5/15/2023,Sachangwan,Sachangwan,Nakuru,Nakuru Eldoret highway,Matatu hit a bump and veered off the road,Passengers,5,02:00,Cloudy
4/21/2023,Mau Summit,Kuresoi North,Nakuru,Nakuru Eldoret highway, Tuktuk hit a kindergarten child,Pedestrian,1,18:30,Cloudy
4/18/2023,Naivasha,Naivasha,Nakuru,"Nakuru - Nairobi highway ",Matatu collided with a lorry,"Driver, Passengers",5,01:42,Foggy
4/1/2023,Amabuko,Kroka Town,Kisii,Kisii Keroka Road,Matatu collided with a trailer,Passengers,5,17:18,Rainy
3/30/2023,Kayole Bridge,Nakuru,Nakuru,"Nakuru - Nairobi highway ",Bus collided with a matatu,Passengers,18,15:46,Cloudy
3/31/2023,Burguret Shopping centre,Burguret,Muranga,Naromoru Nanyuki Road,Bus overturned,None,0,01:58,Windy
4/18/2023,Maragua,Maragua,Muranga,Kenol Muranga road,Matatu collided with a lorry,Passengers,2,16:37,Sunny
8/8/2023,Migori town,Migori Town,Migori,Migori Isibania Road,Truck failed brakes and ran into ither vehicles,Pedestrians,8,07:30,Rainy
3/13/2022,Ndarugo,Ndarugo,Kiambu,"Thika Road ",Truck lost control and overturned,None,0,10.00,Foggy
2/4/2023,Kakwamunyen,Kakuma,Turkana,Lodwar Kakuma Road,Driver swerved to avoid on hitting a camel on the road and lost control,Passengers,14,22:00,Foggy
1/29/2023,Mamboleo,Mamboleo,Kisumu,Kakamega Kisumu Road,Bus veered off the road and landed in a ditch,None,0,02:04,Windy
1/26/2023,Kikopey,Kikopey,Nakuru,"Nakuru - Nairobi highway ",A matatu rammed into a lorry,Passengers,7,08:01,Windy
9/8/2023,IIbisil Towm,IIbisil,Kajiado,Namanga Road,Sallon car rammed iinto a lorry,Passengers,3,01:07,Cloudy
8/30/2022,Coptic Round,Coptic,Kisumu,Kisumu Kakamega road,Truck lost control and overturned,Pedestrians,3,18:37,Foggy
7/16/2022,Koru,Koru,Kisumu,Busia - Nairobi,Bus rolled as it tried avoiding collision with a motorbike,None,0,14:00,Foggy
7/8/2023,Taru,Kwale,Kwale,"Mombasa - Nairobi highway ",Matatu collided with an oncoming trailer,"Driver, Passengers",12,14:45,Cloudy
6/8/2023,Kanyonyoo Market,Kanyonyoo,Kitui,Thika Kitui Highway,Bus rammed into a saloon car,Passengers,4,10:04,Windy
6/5/2022,Kanyonyoo juction,Kanyonyoo,Kitui,Thika Kitui Highway,Matatu lost control and rolled over,"Driver, Passengers",10,23:03,Calm
6/3/2022,Losengeli,Sabatia,Vihiga,Nairobi Kakamega road,Bus lost control and rolled over,Passenger,1,03:45,Foggy
31/5/2022,Isinya,Isinya,Kajiado,Namanga Road,Car rammed into a trailer,Passengers,1,23:00,Calm
5/30/2022,Kinugi,Kinugi,Nakuru,Naivasha Nairobi Highway,Truck driver collided with an oncoming matatu,Passenger,1,06:36,Cloudy
2/28/2022,Kinugi,Kinugi,Nakuru,"Nakuru - Nairobi highway ",Car rammed into a lorry,Passengers,4,22:35,Cloudy
8/8/2023,Sobea,Sobea,Nakuru,Nakuru Eldoret Highway,matatu collided with a truck,Passengers,2,04:30,Foggy
