DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date,Adjusted
1/4/2010,TOTL,Total Kenya,12.65,18,28.5,30,29.25,29.75,-0.5,1.71%,"8,200",-,,
1/5/2010,TOTL,Total Kenya,12.65,18,28.5,30,28.5,29.25,-0.75,2.63%,"1,100",-,,
1/6/2010,TOTL,Total Kenya,12.65,18,29,30,29,28.5,0.5,1.72%,"25,900",-,,
1/7/2010,TOTL,Total Kenya,12.65,18,30,30,30,29,1,3.33%,500,-,,
1/8/2010,TOTL,Total Kenya,12.65,18,30,30,30,30,-,-,"2,600",-,,
1/11/2010,TOTL,Total Kenya,12.65,18,30,30.25,30,30,-,-,"4,200",-,,
1/12/2010,TOTL,Total Kenya,12.65,18,29,30,29.5,30,-0.5,1.69%,"7,000",-,,
1/13/2010,TOTL,Total Kenya,12.65,18,29.75,30,29.75,29.5,0.25,0.84%,"7,300",-,,
1/14/2010,TOTL,Total Kenya,12.65,18,28.5,30,29,29.75,-0.75,2.59%,"39,500",-,,
1/15/2010,TOTL,Total Kenya,12.65,18,29.25,30,29.25,29,0.25,0.85%,"41,100",-,,
1/18/2010,TOTL,Total Kenya,12.65,18,29.25,30,29.75,29.25,0.5,1.68%,"37,300",-,,
1/19/2010,TOTL,Total Kenya,12.65,18,30.25,31.5,30.75,29.75,1,3.25%,"3,000",-,,
1/20/2010,TOTL,Total Kenya,12.65,18,30.25,32,30.75,30.75,-,-,"6,100",-,,
1/21/2010,TOTL,Total Kenya,12.65,18,30,30.75,30,30.75,-0.75,2.50%,"5,200",-,,
1/22/2010,TOTL,Total Kenya,12.65,18,30,30.75,30.5,30,0.5,1.64%,"3,900",-,,
1/25/2010,TOTL,Total Kenya,12.65,18,30,30.25,30,30.5,-0.5,1.67%,"1,700",-,,
1/26/2010,TOTL,Total Kenya,12.65,18,29.25,30.25,29.25,30,-0.75,2.56%,"75,600",-,,
1/27/2010,TOTL,Total Kenya,12.65,18,29.25,29.5,29.25,29.25,-,-,"26,500",-,,
1/28/2010,TOTL,Total Kenya,12.65,18,29.25,30.25,29.75,29.25,0.5,1.68%,"3,100",-,,
1/29/2010,TOTL,Total Kenya,12.65,18,29.5,30,29.75,29.75,-,-,"4,200",-,,
2/1/2010,TOTL,Total Kenya,12.65,18,29.75,30,29.75,29.75,-,-,600,-,,
2/2/2010,TOTL,Total Kenya,12.65,18,30.25,30.25,30.25,29.75,0.5,1.65%,"8,100",-,,
2/3/2010,TOTL,Total Kenya,12.65,18,30,33,31.5,30.25,1.25,3.97%,"37,000",-,,
2/4/2010,TOTL,Total Kenya,12.65,18,30,31.5,31,31.5,-0.5,1.61%,"12,900",-,,
2/5/2010,TOTL,Total Kenya,12.65,18,30,32,30,31,-1,3.33%,"25,100",-,,
2/8/2010,TOTL,Total Kenya,12.65,18,30,32,30.25,30,0.25,0.83%,"24,100",-,,
